link,country,amount,note,year,retrieved
/the-world-factbook/countries/qatar,Qatar,92900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/qatar,Qatar,89000.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/qatar,Qatar,90800.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/romania,Romania,30800.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/romania,Romania,29100.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/romania,Romania,30000.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/russia,Russia,28000.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/russia,Russia,26600.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/russia,Russia,27300.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/rwanda,Rwanda,2200.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/rwanda,Rwanda,2100.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/rwanda,Rwanda,2200.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/saint-helena-ascension-and-tristan-da-cunha,"Saint Helena, Ascension, and Tristan da Cunha",7800.0,,,2023-03-31
/the-world-factbook/countries/saint-kitts-and-nevis,Saint Kitts and Nevis,26500.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/saint-kitts-and-nevis,Saint Kitts and Nevis,26700.0,data are in 2017 dollars,2020,2023-03-31
